ObjectNumber,ImageHighRes,ImageLowRes,ImageThumb,Title,Description,CollectionType,Subject,WorkMaker,WorkMedium,WorkDateEarliest,WorkDateLatest,ProductionPlace,OnPOD,PrimaryOrSecondaryImage
1885P1714,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1714-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1714-view2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1714-view2.jpg,Charity,(Detail),Fine Art Paintings and Sculpture,Sculpture (Visual Works),Master of the Unruly Children,Terracotta,,,,,Secondary
1885P1714,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1714-view3.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1714-view3.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1714-view3.jpg,Charity,(Detail),Fine Art Paintings and Sculpture,Sculpture (Visual Works),Master of the Unruly Children,Terracotta,,,,,Secondary
1885P1714,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1714-view4.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1714-view4.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1714-view4.jpg,Charity,(Detail),Fine Art Paintings and Sculpture,Sculpture (Visual Works),Master of the Unruly Children,Terracotta,,,,,Secondary
1885P1714,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1714-view5.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1714-view5.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1714-view5.jpg,Charity,Back view,Fine Art Paintings and Sculpture,Sculpture (Visual Works),Master of the Unruly Children,Terracotta,,,,,Secondary
1885P1714,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1714.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1714.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1714.jpg,Charity,,Fine Art Paintings and Sculpture,Sculpture (Visual Works),Master of the Unruly Children,Terracotta,,,,,Primary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail1.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail1.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail1.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawing,Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail2.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail2.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawing,Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail3.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail3.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail3.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail4.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail4.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail4.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
1885P1759,https://s3.eu-west-2.amazonaws.com/bmagrmxd/highres/CollectionItems/1885P1759-detail5.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/lowres/1885P1759-detail5.jpg,https://s3.eu-west-2.amazonaws.com/bmagrmxd/thumb/1885P1759-detail5.jpg,,Navigational Map of Europe (Detail),Fine Art Prints and Drawings,Drawings (Visual Works),Jacobo Russo,Pen on parchment,1528,1528,,,Secondary
